Date,Text,Time,categories_standard
"August 6, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 6, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 6, 2021",Other,0:21:02,Other
"August 6, 2021","App/Ride  Ending a ride, The scooter doesnt move",0:22:12,App Issues
"August 6, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 6, 2021",Parking Concern Other,0:19:46,Incidents
"August 6, 2021",Damaged vehicle Lights,0:00:26,Damaged Vehicle Issues
"August 6, 2021","App/Ride  Ending a ride, Starting a ride, The scooter doesnt move",0:11:56,App Issues
"August 6, 2021",Other,0:18:53,Other
"August 6, 2021",App/Ride  Starting a ride,0:00:03,App Issues
"August 7, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 7, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 7, 2021",App/Ride  Starting a ride,0:36:00,App Issues
"August 7, 2021",Damaged vehicle Throttle,0:36:00,Damaged Vehicle Issues
"August 7, 2021",Damaged vehicle Throttle,0:36:00,Damaged Vehicle Issues
"August 7, 2021",App/Ride  The scooter doesnt move,0:00:04,App Issues
"August 7, 2021",App/Ride  Other,0:36:00,App Issues
"August 7, 2021",App/Ride  Starting a ride,0:36:00,App Issues
"August 7, 2021",Other,0:00:10,Other
"August 7, 2021",Billing  Other,0:00:30,Payments
"August 8, 2021",App/Ride  Other,0:09:02,App Issues
"August 8, 2021",Other,0:00:23,Other
"August 8, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:00,App Issues
"August 8, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 8, 2021",,0:51:25,Other
"August 8, 2021",App/Ride  Other,0:00:00,App Issues
"August 8, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 8, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 8, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 8, 2021",Other,0:00:06,Other
"August 8, 2021",App/Ride  Ending a ride,0:36:00,App Issues
"August 8, 2021","Damaged vehicle Handlebars, Other, Throttle",0:36:00,Damaged Vehicle Issues
"August 8, 2021",App/Ride  The scooter doesnt move,0:00:03,App Issues
"August 8, 2021",Other,0:00:00,Other
"August 8, 2021",Other,0:00:00,Other
"August 8, 2021",Parking Concern Other,0:00:00,Incidents
"August 9, 2021",Billing  Improper charge,0:09:29,Payments
"August 9, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 9, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 9, 2021",Damaged vehicle Throttle,0:00:13,Damaged Vehicle Issues
"August 9, 2021",Damaged vehicle Throttle,0:00:03,Damaged Vehicle Issues
"August 9, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 9, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 9, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 9, 2021","Billing  Other, Improper charge",0:06:10,Payments
"August 9, 2021","Damaged vehicle Other, Handlebars",0:00:16,Damaged Vehicle Issues
"August 9, 2021",App/Ride  Starting a ride,0:00:01,App Issues
"August 9, 2021",Billing  Improper charge,0:00:08,Payments
"August 9, 2021",App/Ride  Ending a ride,0:00:10,App Issues
"August 10, 2021",Other,0:00:00,Other
"August 10, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:00,App Issues
"August 10, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 10, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 10, 2021",Parking Concern Other,0:00:00,Incidents
"August 10, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 10, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 10, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 10, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 10, 2021","App/Ride  Starting a ride, Signing in, Other, Ending a ride",0:00:00,App Issues
"August 10, 2021",Other,0:00:00,Other
"August 10, 2021",Parking Concern Other,0:00:00,Incidents
"August 10, 2021",Billing  Improper charge,0:00:00,Payments
"August 10, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 10, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 10, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 10, 2021",Billing  Improper charge,0:00:09,Payments
"August 10, 2021","Billing  Refund delayed, Improper charge, Credit / debit card not working",0:00:05,Payments
"August 10, 2021",App/Ride  The scooter doesnt move,0:01:12,App Issues
"August 10, 2021",Damaged vehicle Other,0:00:31,Damaged Vehicle Issues
"August 10, 2021",App/Ride  Starting a ride,0:00:29,App Issues
"August 10, 2021","App/Ride  Signing in, The scooter doesnt move, Ending a ride",0:00:00,App Issues
"August 11, 2021","Billing  Other, Refund delayed",0:00:00,Payments
"August 11, 2021",Other,0:00:00,Other
"August 11, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 11, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 11, 2021",Billing  Change payment method,0:00:00,Payments
"August 11, 2021","Damaged vehicle Throttle, Brakes",0:00:00,Damaged Vehicle Issues
"August 11, 2021",Other,0:00:02,Other
"August 11, 2021",App/Ride  Signing in,0:00:00,App Issues
"August 11, 2021",App/Ride  Signing in,0:00:01,App Issues
"August 11, 2021",App/Ride  Other,0:00:00,App Issues
